('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         862734 function calls (838439 primitive calls) in 4.154 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    69/38    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       50    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
       21    0.000    0.000    0.000    0.000 parse.py:931(quote_from_bytes)
       54    0.000    0.000    0.001    0.000 typing.py:1467(__getitem__)
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
        6    0.000    0.000    0.000    0.000 cookiejar.py:232(http2time)
        2    0.000    0.000    0.000    0.000 {method 'poll' of 'select.poll' objects}
      488    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
       43    0.000    0.000    0.000    0.000 _collections.py:300(add)
        2    0.000    0.000    0.001    0.000 connection.py:418(request)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        5    0.000    0.000    0.000    0.000 feedparser.py:100(push)
       12    0.000    0.000    0.000    0.000 copy.py:61(copy)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      273    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       98    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      299    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
      192    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      215    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      333    0.000    0.000    0.000    0.000 typing.py:166(_type_convert)
      143    0.000    0.000    0.000    0.000 typing.py:1165(__init__)
        9    0.000    0.000    0.000    0.000 cookiejar.py:1015(set_ok_domain)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
      414    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
